GoalProbability,WeightedExpectedGoals,Count,WeightedCount
0.25,0.0154545454545455,67,1.951
0.31,0.0118181818181818,86,2.494
0.34,0.00636363636363636,151,3.041
0.13,0.01,2446,73.423
0.19,0.0109090909090909,586,12.81
0.24,0.00818181818181818,405,12.289
0.21,0.01,417,15.326
0.25,0.0145454545454545,64,1.93
0.3,0.0109090909090909,221,7.08
0.17,0.0145454545454545,852,21.838
0.24,0.0154545454545455,114,4.115
0.29,0.0118181818181818,294,7.866
0.23,0.00818181818181818,451,12.876
0.34,0.00272727272727273,286,5.231
0.35,0.00272727272727273,269,5.505
0.36,0.00181818181818182,419,5.859
0.4,0.00272727272727273,140,2.961
0.16,0.00818181818181818,1786,41.655
0.14,0.0118181818181818,2607,79.836
0.19,0.0118181818181818,639,16.02
0.22,0.00818181818181818,592,14.838
0.2,0.0118181818181818,538,15.091
0.22,0.00909090909090909,928,20.286
0.12,0.00818181818181818,4279,106.558
0.36,0.00363636363636364,190,4.988
0.39,0.00363636363636364,211,5.445
0.37,0.00272727272727273,256,4.533
0.42,0.00363636363636364,232,6.374
0.35,0.00181818181818182,274,5.198
0.36,0.00272727272727273,184,4.248
0.41,0.00363636363636364,167,3.411
0.34,0.00181818181818182,450,6.596
0.33,0.00363636363636364,180,3.032
0.44,0.00454545454545455,114,3.94
0.4,0.00454545454545455,125,3.486
0.42,0.00545454545454545,114,3.546
0.38,0.00454545454545455,159,4.511
0.39,0.00454545454545455,134,4.464
0.01,0.00363636363636364,161287,6072.751
0.15,0.00909090909090909,1908,50.292
0.15,0.00727272727272727,3666,82.142
0.38,0.00272727272727273,219,4.921
0.38,0.00363636363636364,101,3.005
0.37,0.00363636363636364,230,5.24
0.35,0.00363636363636364,146,4.089
0.03,0.00636363636363636,70457,2399.776
0.32,0.00272727272727273,427,9.55
0.19,0.00727272727272727,1321,30.884
0.27,0.00818181818181818,478,13.083
0.33,0.00636363636363636,222,7.081
0.21,0.00818181818181818,1203,25.395
0.27,0.0118181818181818,230,7.064
0.33,0.00909090909090909,162,4.606
0.32,0.00909090909090909,165,2.749
0.27,0.00636363636363636,539,16.631
0.17,0.0109090909090909,1440,37.077
0.28,0.00818181818181818,208,6.616
0.24,0.0118181818181818,491,7.826
0.28,0.00909090909090909,179,6.267
0.32,0.00454545454545455,246,8.729
0.37,0.00636363636363636,187,5.132
0.38,0.00636363636363636,193,4.51
0.4,0.00545454545454545,163,5.59
0.37,0.00454545454545455,99,3.697
0.2,0.00909090909090909,461,11.769
0.36,0.00545454545454545,93,4.141
0.36,0.00454545454545455,180,5.067
0.32,0.00545454545454545,123,4.628
0.39,0.00818181818181818,30,2.022
0.41,0.00818181818181818,88,4.09
0.39,0.00636363636363636,58,2.167
0.33,0.00272727272727273,192,4.225
0.42,0.00818181818181818,79,4.483
0.42,0.00727272727272727,97,4.054
0.38,0.00545454545454545,109,4.857
0.39,0.00727272727272727,101,3.746
0.44,0.00727272727272727,77,3.834
0.43,0.00727272727272727,105,5.011
0.44,0.00545454545454545,78,2.521
0.41,0.00454545454545455,205,5.777
0.39,0.00545454545454545,140,4.171
